"customer_id","country_id","gender","join_date","age","contact_propensity","churn_flag"
"WR10000922",1,"U",2019-08-21,32,0.187192118226601,1
"WR10002062",1,"F",2020-06-04,32,0.134550371872887,0
"WR10025005",4,"F",2020-06-16,48,0.373611513570946,0
"WR10021250",16,"U",2020-05-13,58,0.412440838404327,0
"WR10001138",12,"M",2018-07-19,30,0.00753404810199942,1
"WR10012489",16,"M",2019-09-13,33,0.298271032550951,1
"WR10041415",12,"F",2019-10-04,35,0.0248237225924853,0
"WR10012919",16,"F",2019-09-05,29,0.0209601081812035,0
"WR10055142",16,"M",2018-11-19,50,0.28590746643485,0
"WR10052526",1,"F",2016-10-24,49,0.115715251617889,1
"WR10013367",16,"F",2018-10-24,35,0.555877523423162,0
"WR10015574",16,"M",2019-10-27,70,0.0554428668018932,0
"WR10004781",16,"M",2020-03-12,30,0.152999130686757,0
"WR10015489",16,"M",2019-09-29,47,0.104220998744325,0
"WR10034806",7,"F",2020-05-10,35,0.275862068965517,0
"WR10016078",1,"F",2017-03-18,41,0.277697285810876,1
"WR10038649",16,"M",2019-01-04,55,0.312180044431566,1
"WR10053236",4,"M",2020-03-15,48,0.0169033130493577,0
"WR10028244",1,"M",2018-01-09,33,0.360764995653434,1
"WR10019341",12,"M",2019-07-17,64,0.0597894330145851,1
"WR10053091",12,"M",2020-05-04,72,0.466531440162272,0
"WR10007753",16,"F",2019-03-05,31,0.00492610837438424,0
"WR10049950",16,"M",2020-04-21,52,0.0783347821887376,0
"WR10036667",4,"M",2017-01-21,42,0.0512894813097653,1
"WR10054502",7,"F",2018-10-02,38,0.455037187288709,NA
"WR10041884",12,"M",2020-01-13,39,0.384719405003381,0
"WR10042511",1,"M",2018-05-31,46,0.288805177243311,1
"WR10033885",1,"F",2016-10-16,43,0.64416111272095,1
"WR10035760",7,"F",2017-03-07,61,0.194146624166908,NA
"WR10031725",12,"M",2020-06-22,40,0.125374287646093,0
"WR10046617",1,"M",2020-04-14,48,0.49290060851927,NA
"WR10000583",1,"M",2020-06-13,32,0.357384333043562,0
"WR10029296",16,"M",2019-10-08,59,0.165555877523423,1
"WR10033013",16,"M",2019-11-12,41,0.00125567468366657,0
"WR10003604",16,"M",2019-04-08,33,0.142181010335169,1
"WR10015982",1,"U",2020-06-26,67,0.473485946102579,NA
"WR10037749",4,"M",2019-02-18,39,0.25519173186516,0
"WR10026458",12,"F",2019-08-15,46,0.300492610837438,0
"WR10045282",1,"F",2020-03-05,57,0.251811069255288,0
"WR10034123",4,"F",2019-11-07,48,0.303969863807592,0
"WR10023848",1,"M",2020-03-12,33,0.317492514247078,0
"WR10044402",4,"F",2020-05-31,63,0.280594996619337,0
"WR10020426",1,"M",2019-01-29,46,0.264947358253646,0
"WR10041299",7,"M",2020-05-12,49,0.16401043175891,0
"WR10023980",16,"U",2020-04-12,45,0.269100743745774,0
"WR10029304",12,"F",2020-06-10,48,0.0420168067226891,0
"WR10047084",1,"M",2020-06-24,35,0.246595189800058,0
"WR10019939",1,"M",2020-04-15,53,0.177726262918961,0
"WR10004298",1,"F",2018-10-24,29,0.104510769825171,1
"WR10032742",12,"M",2019-12-06,36,0.234231623683956,0
"WR10031293",1,"F",2019-01-15,50,0.134743552593451,0
"WR10045912",1,"M",2019-11-11,76,0.21926011784024,1
"WR10052898",16,"F",2020-01-08,45,0.0609485173379697,NA
"WR10046596",1,"M",2020-02-07,38,0.00898290350623008,0
"WR10052905",12,"F",2016-10-06,65,0.0390225055539457,1
"WR10046664",1,"M",2019-05-12,56,0.0901188061431469,NA
"WR10011188",1,"M",2020-06-21,33,0.0999710228919154,0
"WR10034688",1,"F",2020-05-17,57,0.13561286583599,0
"WR10002661",4,"M",2019-08-04,36,0.306481213174925,0
"WR10001813",16,"M",2020-06-18,31,0.396889790398918,0
"WR10001537",4,"F",2019-12-03,31,0.0447213368105863,1
"WR10028668",1,"F",2018-08-28,36,0.284362020670337,0
